Date,Product,Quantity,Price,Store
2023-03-26,Google Pixel,19,11.43,Store A
2023-01-24,Samsung Galaxy,7,9.56,Store A
2023-03-27,Google Pixel,7,8.0,Store A
2023-02-19,Google Pixel,17,16.01,Store C
2023-02-25,OnePlus,9,19.26,Store A
2023-01-17,iPhone,7,16.84,Store B
2023-01-30,Samsung Galaxy,12,17.53,Store C
2023-01-08,Samsung Galaxy,19,18.81,Store C
2023-02-22,iPhone,16,19.8,Store B
2023-01-14,Google Pixel,4,10.57,Store B
2023-03-25,Samsung Galaxy,10,15.08,Store C
2023-03-21,iPhone,2,18.88,Store A
2023-02-06,OnePlus,13,16.66,Store A
2023-01-02,iPhone,2,8.67,Store A
2023-03-22,iPhone,7,9.06,Store A
2023-03-23,Google Pixel,9,18.82,Store A
2023-02-17,Google Pixel,14,19.51,Store C
2023-02-17,iPhone,20,9.47,Store B
2023-03-22,iPhone,18,7.72,Store B
2023-03-11,Samsung Galaxy,14,15.85,Store C
2023-02-06,OnePlus,11,8.58,Store A
2023-01-13,OnePlus,3,5.2,Store B
2023-01-26,Google Pixel,5,12.31,Store B
2023-03-21,Samsung Galaxy,14,5.35,Store C
2023-02-10,Samsung Galaxy,9,13.23,Store B
2023-03-19,Samsung Galaxy,13,19.55,Store C
2023-01-28,OnePlus,4,16.33,Store B
2023-03-29,Samsung Galaxy,1,12.99,Store B
2023-01-09,OnePlus,17,15.95,Store A
2023-03-07,Samsung Galaxy,10,13.68,Store B
2023-02-28,Samsung Galaxy,17,11.74,Store A
2023-02-26,iPhone,2,8.57,Store B
2023-01-26,OnePlus,5,16.75,Store A
2023-03-23,Google Pixel,16,12.39,Store C
2023-03-27,OnePlus,7,7.74,Store A
2023-03-14,OnePlus,17,5.13,Store B
2023-02-09,iPhone,5,8.02,Store A
2023-01-13,Samsung Galaxy,3,15.93,Store C
2023-03-04,iPhone,13,5.68,Store C
2023-01-07,iPhone,3,15.02,Store B
2023-01-24,OnePlus,9,10.4,Store A
2023-03-12,iPhone,8,12.36,Store B
2023-01-13,iPhone,4,10.13,Store A
2023-03-20,Google Pixel,17,16.86,Store A
2023-02-27,Samsung Galaxy,4,14.76,Store A
2023-01-16,Google Pixel,19,12.46,Store B
2023-01-03,OnePlus,3,7.53,Store C
2023-03-20,Google Pixel,7,10.5,Store B
2023-01-20,Samsung Galaxy,7,10.71,Store B
2023-02-02,OnePlus,8,13.53,Store B
2023-01-26,Google Pixel,11,14.64,Store C
2023-03-29,Samsung Galaxy,20,14.78,Store C
2023-01-02,Samsung Galaxy,17,14.8,Store C
2023-02-12,iPhone,5,11.77,Store A
2023-02-23,iPhone,8,11.62,Store C
2023-01-27,iPhone,18,15.05,Store B
2023-02-22,OnePlus,14,17.31,Store C
2023-01-17,Google Pixel,4,13.37,Store C
2023-03-26,Samsung Galaxy,13,18.75,Store A
2023-02-17,OnePlus,1,8.1,Store C
2023-03-26,iPhone,2,19.57,Store A
2023-01-03,Google Pixel,1,17.57,Store C
2023-02-10,Google Pixel,3,17.47,Store B
2023-03-29,Google Pixel,1,9.63,Store A
2023-03-06,Samsung Galaxy,19,19.66,Store B
2023-03-01,OnePlus,3,13.18,Store C
2023-03-05,iPhone,11,5.03,Store B
2023-03-12,Google Pixel,1,7.08,Store B
2023-03-16,OnePlus,13,13.35,Store A
2023-01-10,Google Pixel,12,12.71,Store C
2023-03-28,Samsung Galaxy,19,11.03,Store A
2023-02-19,iPhone,17,16.46,Store B
2023-02-23,Google Pixel,11,8.59,Store B
2023-02-23,OnePlus,9,12.3,Store A
2023-03-31,OnePlus,6,17.54,Store C
2023-03-16,Samsung Galaxy,8,18.68,Store C
2023-02-11,Google Pixel,11,15.95,Store B
2023-03-12,Samsung Galaxy,19,10.62,Store B
2023-02-27,iPhone,5,11.19,Store C
2023-02-25,Samsung Galaxy,9,10.77,Store A
2023-01-26,OnePlus,18,14.67,Store B
2023-01-28,Samsung Galaxy,16,10.68,Store C
2023-03-13,OnePlus,4,18.5,Store A
2023-01-06,Google Pixel,20,11.99,Store C
2023-01-24,Samsung Galaxy,7,18.2,Store B
2023-01-22,Google Pixel,10,6.96,Store B
2023-02-22,OnePlus,18,8.1,Store A
2023-02-07,Samsung Galaxy,7,7.09,Store B
2023-01-03,iPhone,3,15.38,Store A
2023-01-07,OnePlus,9,8.33,Store B
2023-01-28,OnePlus,10,16.84,Store B
2023-03-23,Samsung Galaxy,11,18.68,Store A
2023-03-25,iPhone,4,6.23,Store A
2023-03-31,OnePlus,19,16.14,Store C
2023-03-10,iPhone,10,10.39,Store C
2023-02-02,OnePlus,15,5.45,Store A
2023-01-25,Samsung Galaxy,5,6.62,Store A
2023-02-11,iPhone,1,16.16,Store B
2023-02-23,iPhone,11,5.33,Store A
2023-01-31,OnePlus,20,7.46,Store B
2023-01-14,iPhone,1,9.06,Store B
2023-03-01,iPhone,6,5.23,Store B
2023-03-01,Google Pixel,14,6.37,Store B
2023-03-17,Samsung Galaxy,20,17.58,Store A
2023-03-04,Samsung Galaxy,20,13.01,Store B
2023-01-15,Samsung Galaxy,15,17.97,Store B
2023-01-16,OnePlus,3,10.01,Store B
2023-01-01,iPhone,1,14.0,Store C
2023-02-28,Google Pixel,3,8.81,Store B
2023-02-26,Samsung Galaxy,3,6.71,Store A
2023-02-19,OnePlus,7,5.33,Store A
2023-03-15,Samsung Galaxy,5,19.84,Store B
2023-03-11,iPhone,16,14.7,Store B
2023-02-15,iPhone,15,16.1,Store B
2023-03-03,Google Pixel,12,17.43,Store A
2023-02-16,Samsung Galaxy,15,12.14,Store B
2023-03-19,OnePlus,3,12.58,Store C
2023-01-26,Google Pixel,20,16.02,Store C
2023-01-07,iPhone,8,17.52,Store B
2023-02-17,Samsung Galaxy,9,8.37,Store C
2023-02-11,iPhone,7,8.38,Store A
2023-03-03,iPhone,6,16.06,Store B
2023-02-11,OnePlus,6,6.35,Store A
2023-03-08,Samsung Galaxy,6,15.7,Store A
2023-01-07,Samsung Galaxy,18,18.76,Store C
2023-02-16,Google Pixel,8,18.09,Store B
2023-03-23,Google Pixel,19,11.64,Store A
2023-03-17,Google Pixel,20,6.58,Store A
2023-02-17,Samsung Galaxy,16,6.04,Store B
2023-02-16,Google Pixel,14,10.12,Store A
2023-02-08,Google Pixel,13,11.74,Store B
2023-02-13,OnePlus,14,8.21,Store A
2023-01-05,Samsung Galaxy,8,14.43,Store A
2023-02-12,Google Pixel,16,17.54,Store C
2023-02-06,iPhone,7,18.85,Store C
2023-01-07,iPhone,9,10.51,Store A
2023-01-20,Google Pixel,4,7.23,Store C
2023-02-24,Samsung Galaxy,8,10.21,Store A
2023-03-27,Samsung Galaxy,10,17.77,Store C
2023-03-06,OnePlus,11,11.36,Store B
2023-01-23,OnePlus,17,16.98,Store A
2023-02-22,Google Pixel,13,7.83,Store C
2023-03-03,OnePlus,18,16.85,Store A
2023-03-28,OnePlus,17,9.18,Store C
2023-03-08,Samsung Galaxy,5,16.07,Store C
2023-01-11,Google Pixel,11,18.74,Store A
2023-01-01,iPhone,15,6.05,Store C
2023-02-27,Samsung Galaxy,20,14.64,Store B
2023-03-02,Samsung Galaxy,3,14.17,Store B
2023-03-07,Samsung Galaxy,13,12.26,Store B
2023-03-19,Google Pixel,9,15.4,Store A
2023-01-16,iPhone,10,18.59,Store B
2023-02-22,iPhone,2,14.05,Store C
2023-01-01,OnePlus,2,19.37,Store C
2023-03-26,Samsung Galaxy,16,7.7,Store C
2023-03-16,OnePlus,11,16.03,Store C
2023-02-26,OnePlus,8,7.44,Store A
2023-02-13,OnePlus,9,14.29,Store A
2023-01-08,iPhone,18,11.85,Store B
2023-01-10,Samsung Galaxy,17,16.08,Store B
2023-01-20,Samsung Galaxy,12,13.15,Store A
2023-01-15,OnePlus,5,7.46,Store C
2023-03-01,iPhone,4,16.31,Store B
2023-01-23,Google Pixel,16,17.87,Store B
2023-03-07,OnePlus,11,12.67,Store C
2023-02-19,Samsung Galaxy,5,17.53,Store B
2023-02-26,OnePlus,18,14.29,Store C
2023-03-11,Google Pixel,8,12.13,Store A
2023-03-22,iPhone,20,17.91,Store B
2023-02-02,Samsung Galaxy,3,6.95,Store C
2023-01-07,Samsung Galaxy,18,8.14,Store A
2023-01-07,OnePlus,8,11.34,Store B
2023-03-20,Samsung Galaxy,18,17.32,Store A
2023-01-29,Google Pixel,12,13.49,Store A
2023-02-20,OnePlus,13,18.95,Store B
2023-03-12,Google Pixel,12,16.12,Store A
2023-03-18,Samsung Galaxy,7,18.42,Store A
2023-02-11,Google Pixel,20,13.71,Store C
2023-02-12,Samsung Galaxy,4,11.83,Store B
2023-03-24,iPhone,20,18.08,Store B
2023-02-05,OnePlus,17,7.15,Store A
2023-01-13,Google Pixel,13,5.84,Store A
2023-03-12,Google Pixel,5,19.8,Store A
2023-03-08,iPhone,19,8.05,Store A
2023-03-07,Samsung Galaxy,12,11.05,Store B
2023-01-20,OnePlus,13,17.37,Store A
2023-01-07,Samsung Galaxy,1,14.62,Store A
2023-02-08,OnePlus,14,8.34,Store A
2023-03-30,OnePlus,10,5.88,Store C
2023-03-08,OnePlus,11,13.88,Store B
2023-03-12,iPhone,15,5.39,Store C
2023-01-23,OnePlus,12,15.99,Store A
2023-01-25,OnePlus,17,8.59,Store A
2023-03-17,iPhone,1,13.43,Store A
2023-03-05,Samsung Galaxy,9,11.03,Store A
2023-01-10,OnePlus,4,7.74,Store B
2023-03-03,OnePlus,6,18.37,Store A
2023-03-09,OnePlus,8,10.51,Store B
2023-02-07,iPhone,20,17.97,Store C
2023-01-19,iPhone,8,15.16,Store A
2023-02-19,iPhone,6,19.61,Store B
2023-03-04,iPhone,9,11.6,Store C
2023-01-31,Samsung Galaxy,1,6.53,Store B
2023-02-12,iPhone,19,9.37,Store C
2023-01-21,iPhone,5,6.29,Store C
2023-01-18,OnePlus,5,15.17,Store C
2023-03-29,Google Pixel,3,19.66,Store B
2023-01-22,OnePlus,14,19.17,Store B
2023-01-18,Google Pixel,14,15.54,Store B
2023-01-20,Samsung Galaxy,18,15.76,Store C
2023-02-09,iPhone,10,18.44,Store C
2023-03-11,Samsung Galaxy,7,13.23,Store B
2023-02-22,iPhone,18,19.47,Store A
2023-03-23,Samsung Galaxy,18,10.5,Store A
2023-01-22,Samsung Galaxy,12,17.32,Store A
2023-03-02,Google Pixel,20,19.08,Store A
2023-01-30,Samsung Galaxy,8,14.07,Store A
2023-02-14,OnePlus,11,7.57,Store B
2023-03-16,OnePlus,2,15.92,Store C
2023-01-27,iPhone,19,11.04,Store B
2023-02-08,iPhone,14,9.36,Store C
2023-01-02,Samsung Galaxy,12,13.44,Store A
2023-01-25,OnePlus,8,10.76,Store B
2023-01-28,Samsung Galaxy,20,17.2,Store B
2023-02-18,iPhone,5,8.23,Store C
2023-03-07,Samsung Galaxy,16,9.63,Store B
2023-03-13,Samsung Galaxy,15,13.13,Store B
2023-01-07,Google Pixel,3,18.6,Store C
2023-01-12,Google Pixel,4,7.3,Store B
2023-01-06,OnePlus,19,10.31,Store A
2023-03-04,iPhone,4,10.78,Store B
2023-03-28,Samsung Galaxy,2,6.25,Store C
2023-02-11,OnePlus,17,17.16,Store A
2023-02-06,iPhone,7,14.64,Store C
2023-01-24,Samsung Galaxy,3,11.51,Store B
2023-02-16,Samsung Galaxy,19,9.11,Store B
2023-03-19,iPhone,7,8.03,Store A
2023-03-04,OnePlus,2,16.05,Store B
2023-01-18,Google Pixel,13,9.27,Store C
2023-01-06,Samsung Galaxy,3,11.5,Store C
2023-01-14,Samsung Galaxy,2,7.28,Store A
2023-01-31,OnePlus,12,19.81,Store C
2023-01-20,Samsung Galaxy,9,16.67,Store B
2023-02-13,iPhone,13,7.44,Store B
2023-03-04,Google Pixel,11,10.32,Store A
2023-01-05,iPhone,13,7.26,Store A
2023-03-16,Samsung Galaxy,1,12.1,Store A
2023-01-28,Samsung Galaxy,8,17.83,Store B
2023-02-07,iPhone,20,16.36,Store B
2023-02-05,Samsung Galaxy,15,16.76,Store C
2023-02-04,Samsung Galaxy,15,19.19,Store A
2023-03-20,Google Pixel,15,13.03,Store B
2023-02-14,Samsung Galaxy,16,15.33,Store C
2023-02-12,OnePlus,10,18.78,Store C
2023-01-23,Samsung Galaxy,3,13.26,Store C
2023-01-11,iPhone,17,8.44,Store A
2023-03-12,iPhone,9,10.94,Store A
2023-01-03,Samsung Galaxy,7,16.92,Store B
2023-03-24,OnePlus,12,7.47,Store A
2023-01-07,Google Pixel,17,8.96,Store B
2023-03-18,Samsung Galaxy,3,6.24,Store A
2023-03-24,iPhone,15,19.69,Store C
2023-01-27,iPhone,14,5.91,Store B
2023-01-16,Google Pixel,7,7.05,Store B
2023-01-18,OnePlus,7,13.54,Store C
2023-02-05,Google Pixel,10,15.74,Store A
2023-01-14,Samsung Galaxy,5,18.97,Store A
2023-01-25,Samsung Galaxy,8,18.86,Store B
2023-03-06,Samsung Galaxy,14,12.34,Store A
2023-02-25,iPhone,18,15.28,Store A
2023-03-30,Google Pixel,15,18.58,Store A
2023-01-08,Google Pixel,13,15.69,Store A
2023-03-08,Samsung Galaxy,6,11.64,Store C
2023-02-12,OnePlus,13,9.05,Store B
2023-02-17,iPhone,5,18.9,Store A
2023-03-15,OnePlus,12,11.05,Store A
2023-03-28,Samsung Galaxy,15,17.16,Store B
2023-01-11,iPhone,5,8.21,Store B
2023-03-15,Google Pixel,11,17.66,Store B
2023-02-28,Samsung Galaxy,12,13.1,Store A
2023-01-20,iPhone,10,12.6,Store C
2023-03-06,Samsung Galaxy,17,6.98,Store A
2023-03-29,Samsung Galaxy,10,8.55,Store B
2023-01-28,OnePlus,7,13.82,Store A
2023-01-11,iPhone,10,11.99,Store C
2023-03-30,OnePlus,16,15.74,Store C
2023-01-17,Google Pixel,7,18.8,Store B
2023-02-23,iPhone,1,13.46,Store B
2023-01-16,Google Pixel,14,12.78,Store A
2023-01-21,iPhone,6,7.32,Store A
2023-01-30,Google Pixel,13,14.13,Store C
2023-01-25,OnePlus,7,13.6,Store B
2023-02-07,OnePlus,9,13.78,Store C
2023-01-09,iPhone,18,5.26,Store A
2023-01-27,Google Pixel,19,17.59,Store A
2023-01-20,iPhone,1,16.37,Store A
2023-02-22,iPhone,13,9.38,Store C
2023-02-16,OnePlus,11,10.21,Store C
2023-03-21,OnePlus,13,17.54,Store A
2023-01-25,iPhone,3,7.76,Store C
2023-02-24,iPhone,7,11.65,Store C
2023-03-20,OnePlus,18,18.41,Store C
2023-03-20,Samsung Galaxy,19,16.91,Store C
2023-03-02,iPhone,15,6.04,Store B
2023-01-09,iPhone,12,18.74,Store A
2023-01-18,Google Pixel,7,8.53,Store A
2023-01-31,OnePlus,17,10.75,Store B
2023-02-28,Google Pixel,15,18.48,Store A
2023-02-01,iPhone,11,5.99,Store C
2023-02-23,iPhone,20,13.01,Store C
2023-02-28,iPhone,6,12.82,Store C
2023-03-18,OnePlus,4,18.61,Store A
2023-01-20,iPhone,9,12.63,Store B
2023-02-13,Samsung Galaxy,15,13.1,Store C
2023-01-24,Google Pixel,6,5.05,Store A
2023-01-26,Samsung Galaxy,5,13.28,Store A
2023-02-24,iPhone,5,12.33,Store B
2023-02-23,iPhone,20,16.83,Store B
2023-01-06,iPhone,1,13.05,Store B
2023-03-22,Samsung Galaxy,9,11.12,Store C
2023-03-15,OnePlus,5,16.06,Store C
2023-02-12,Samsung Galaxy,12,7.45,Store B
2023-02-08,OnePlus,17,7.48,Store C
2023-03-04,Google Pixel,11,14.24,Store B
2023-02-04,Samsung Galaxy,5,8.08,Store A
2023-02-04,Samsung Galaxy,20,12.18,Store A
2023-02-02,Google Pixel,1,8.13,Store A
2023-01-14,Samsung Galaxy,7,18.5,Store B
2023-03-04,Samsung Galaxy,19,18.82,Store B
2023-02-11,Google Pixel,7,16.02,Store A
2023-02-03,iPhone,5,10.72,Store A
2023-03-14,OnePlus,5,19.05,Store A
2023-03-17,OnePlus,6,8.28,Store C
2023-02-04,iPhone,18,14.78,Store B
2023-03-25,Samsung Galaxy,8,18.07,Store A
2023-03-06,iPhone,15,19.73,Store C
2023-02-22,Samsung Galaxy,10,18.09,Store B
2023-03-12,iPhone,17,19.64,Store A
2023-03-18,Samsung Galaxy,2,17.7,Store C
2023-03-30,iPhone,18,9.58,Store B
2023-02-17,Samsung Galaxy,12,7.67,Store B
2023-02-08,Google Pixel,13,15.24,Store B
2023-03-18,Google Pixel,16,8.71,Store B
2023-03-03,OnePlus,18,7.14,Store A
2023-01-23,iPhone,2,19.83,Store A
2023-01-12,OnePlus,8,11.32,Store B
2023-01-05,iPhone,10,16.08,Store B
2023-02-14,Google Pixel,10,13.71,Store A
2023-03-21,OnePlus,11,11.32,Store A
2023-03-03,iPhone,16,8.84,Store A
2023-01-15,Google Pixel,15,14.64,Store A
2023-01-30,iPhone,15,13.41,Store C
2023-03-04,Google Pixel,16,7.09,Store A
2023-03-10,iPhone,17,15.51,Store B
2023-01-03,iPhone,1,14.44,Store C
2023-02-12,iPhone,1,9.81,Store C
2023-02-22,Google Pixel,13,10.74,Store B
2023-01-20,Google Pixel,6,16.61,Store C
2023-02-14,Google Pixel,4,18.98,Store C
2023-03-31,OnePlus,10,15.85,Store A
2023-01-13,iPhone,6,19.69,Store C
2023-02-06,iPhone,3,5.75,Store A
2023-02-22,iPhone,15,10.37,Store A
2023-02-07,Google Pixel,11,19.47,Store C
2023-03-18,Google Pixel,2,17.26,Store C
2023-03-26,Samsung Galaxy,12,17.42,Store A
2023-01-15,Google Pixel,14,9.72,Store B
2023-03-19,iPhone,15,11.7,Store A
2023-02-09,Google Pixel,12,15.31,Store B
2023-01-10,OnePlus,16,11.81,Store A
2023-01-23,Samsung Galaxy,20,15.89,Store C
2023-02-24,iPhone,10,7.43,Store A
2023-03-02,Samsung Galaxy,6,5.16,Store A
2023-03-12,OnePlus,6,17.56,Store C
2023-01-11,OnePlus,20,10.99,Store B
2023-03-27,Samsung Galaxy,10,9.88,Store A
2023-02-05,OnePlus,14,14.51,Store C
2023-01-24,Google Pixel,2,8.61,Store B
2023-02-22,Samsung Galaxy,20,19.42,Store A
2023-03-12,OnePlus,15,16.62,Store A
2023-01-28,OnePlus,19,18.78,Store C
2023-01-21,Google Pixel,15,16.38,Store C
2023-02-18,iPhone,18,9.18,Store B
2023-02-06,Samsung Galaxy,13,5.42,Store C
2023-02-21,Google Pixel,5,11.0,Store C
2023-01-04,Google Pixel,6,16.56,Store B
2023-03-22,OnePlus,18,17.12,Store A
2023-03-27,OnePlus,6,8.95,Store B
2023-02-28,Samsung Galaxy,10,17.54,Store A
2023-03-27,OnePlus,12,8.39,Store A
2023-01-20,Samsung Galaxy,2,14.65,Store B
2023-03-25,iPhone,13,6.22,Store B
2023-03-16,Google Pixel,10,10.87,Store A
2023-02-14,iPhone,12,17.65,Store B
2023-03-14,iPhone,18,19.23,Store B
2023-02-22,Google Pixel,19,11.83,Store C
2023-02-10,Google Pixel,11,17.81,Store C
2023-01-10,iPhone,6,7.08,Store B
2023-03-22,OnePlus,13,13.07,Store B
2023-02-25,Samsung Galaxy,2,17.48,Store C
2023-03-24,iPhone,9,11.84,Store C
2023-03-21,OnePlus,9,8.42,Store B
2023-03-26,iPhone,12,10.55,Store C
2023-03-19,iPhone,3,9.58,Store C
2023-01-22,OnePlus,4,14.59,Store B
2023-01-04,Samsung Galaxy,12,11.82,Store B
2023-03-23,Samsung Galaxy,7,8.37,Store A
2023-01-17,OnePlus,2,13.95,Store C
2023-03-13,iPhone,13,10.53,Store C
2023-01-18,Samsung Galaxy,18,11.89,Store B
2023-01-18,iPhone,12,8.59,Store A
2023-03-12,OnePlus,20,13.72,Store A
2023-02-28,iPhone,15,6.18,Store B
2023-03-22,Samsung Galaxy,12,10.63,Store B
2023-03-24,Google Pixel,11,7.84,Store C
2023-01-14,Samsung Galaxy,10,6.58,Store A
2023-01-07,Samsung Galaxy,9,6.21,Store C
2023-03-16,iPhone,10,18.75,Store A
2023-01-28,OnePlus,20,11.81,Store A
2023-03-07,OnePlus,11,12.2,Store B
2023-02-15,iPhone,9,9.65,Store B
2023-01-21,Samsung Galaxy,20,6.36,Store A
2023-03-05,iPhone,15,6.41,Store A
2023-01-05,iPhone,6,8.95,Store C
2023-02-13,Samsung Galaxy,10,5.36,Store C
2023-02-12,Samsung Galaxy,19,7.93,Store B
2023-02-02,OnePlus,19,13.68,Store A
2023-02-24,OnePlus,13,9.54,Store C
2023-01-14,iPhone,14,8.27,Store B
2023-01-13,OnePlus,20,6.21,Store B
2023-03-31,Google Pixel,20,13.9,Store C
2023-01-09,iPhone,13,8.73,Store A
2023-03-14,iPhone,10,14.87,Store B
2023-03-23,OnePlus,12,19.33,Store B
2023-03-24,iPhone,4,15.2,Store B
2023-01-01,iPhone,16,18.91,Store A
2023-01-27,Samsung Galaxy,19,5.83,Store C
2023-03-18,Samsung Galaxy,6,8.18,Store A
2023-02-09,Google Pixel,20,10.14,Store B
2023-01-10,Google Pixel,7,17.21,Store C
2023-02-14,iPhone,12,7.4,Store C
2023-02-02,Samsung Galaxy,3,11.74,Store A
2023-01-01,OnePlus,6,18.38,Store A
2023-02-13,OnePlus,17,6.52,Store B
2023-02-28,iPhone,19,10.21,Store C
2023-02-24,iPhone,17,15.85,Store A
2023-01-16,Google Pixel,3,15.51,Store C
2023-01-11,Samsung Galaxy,14,8.82,Store B
2023-02-21,Samsung Galaxy,14,10.92,Store B
2023-01-30,OnePlus,17,11.95,Store A
2023-02-09,Google Pixel,7,11.79,Store C
2023-02-03,Samsung Galaxy,16,15.7,Store C
2023-03-29,Google Pixel,13,8.83,Store B
2023-02-26,Google Pixel,16,6.33,Store B
2023-01-30,iPhone,15,14.23,Store A
2023-01-11,Google Pixel,12,5.72,Store B
2023-02-16,OnePlus,3,8.24,Store B
2023-03-01,OnePlus,6,17.46,Store C
2023-03-11,Samsung Galaxy,7,6.89,Store A
2023-02-11,OnePlus,3,6.69,Store B
2023-02-10,OnePlus,15,10.12,Store B
2023-03-15,iPhone,4,11.94,Store C
2023-01-13,iPhone,7,6.43,Store C
2023-01-16,Google Pixel,9,9.22,Store A
2023-02-05,iPhone,9,18.76,Store A
2023-02-20,OnePlus,3,19.73,Store A
2023-01-26,Google Pixel,18,14.09,Store C
2023-03-30,Google Pixel,1,16.28,Store B
2023-02-10,iPhone,11,7.06,Store B
2023-02-26,Google Pixel,8,13.78,Store A
2023-02-24,iPhone,13,8.07,Store B
2023-02-16,OnePlus,16,14.7,Store C
2023-02-01,iPhone,20,13.44,Store B
2023-01-23,OnePlus,12,15.53,Store B
2023-03-09,OnePlus,15,12.9,Store C
2023-02-19,OnePlus,8,13.5,Store A
2023-03-15,iPhone,15,19.12,Store A
2023-03-18,Google Pixel,12,10.93,Store B
2023-01-12,Samsung Galaxy,18,7.77,Store B
2023-02-20,Google Pixel,5,12.74,Store B
2023-02-17,iPhone,3,19.86,Store A
2023-02-23,Google Pixel,14,5.89,Store B
2023-01-16,Google Pixel,9,7.14,Store C
2023-02-02,OnePlus,8,11.8,Store C
2023-01-26,OnePlus,9,6.95,Store B
2023-02-05,Google Pixel,17,6.15,Store A
2023-02-09,Samsung Galaxy,6,17.81,Store C
2023-02-16,OnePlus,13,10.12,Store B
2023-01-20,OnePlus,10,7.33,Store B
2023-01-31,Samsung Galaxy,14,19.11,Store A
2023-01-05,Google Pixel,15,17.58,Store A
2023-01-13,OnePlus,2,6.9,Store B
2023-01-14,OnePlus,4,18.15,Store C
2023-02-02,OnePlus,10,13.34,Store A
2023-01-07,iPhone,6,17.82,Store B
2023-03-10,iPhone,13,11.99,Store B
2023-01-11,Samsung Galaxy,7,9.76,Store B
2023-01-28,Samsung Galaxy,12,7.15,Store B
2023-02-06,iPhone,13,8.05,Store C
2023-02-14,Samsung Galaxy,18,18.46,Store A
2023-03-23,Google Pixel,7,16.91,Store C
2023-03-25,Samsung Galaxy,8,19.88,Store A
2023-01-30,iPhone,13,8.03,Store C
2023-03-04,Google Pixel,6,12.08,Store B
2023-03-06,iPhone,9,8.78,Store B
2023-03-25,Google Pixel,13,9.55,Store B
2023-03-05,OnePlus,12,5.04,Store B
2023-01-01,Google Pixel,1,7.8,Store C
2023-01-30,Google Pixel,12,14.52,Store A
2023-02-12,Google Pixel,10,10.65,Store A
2023-03-28,Google Pixel,8,12.46,Store A
2023-03-31,OnePlus,19,16.88,Store A
2023-03-16,OnePlus,13,15.29,Store A
2023-02-03,iPhone,19,18.99,Store C
2023-03-04,Google Pixel,1,13.34,Store B
2023-02-12,OnePlus,2,11.57,Store B
2023-02-01,Google Pixel,13,9.1,Store A
2023-02-03,iPhone,5,17.83,Store A
2023-03-01,Samsung Galaxy,13,9.41,Store C
2023-02-24,iPhone,16,19.41,Store C
